2016-12-16T09:28:18+00:00 [2084] INFO  : DB Get Request with parameter :'ssc'
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:25+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:28:26+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY Get Request with parameter : 'questions'
2016-12-16T09:29:31+00:00 [2084] INFO  : DB Get Request with parameter :'questions'
2016-12-16T09:29:31+00:00 [2084] INFO  : DB Get Questions List for ssc :' and subject  : ''
		and category :'' and module : ''
2016-12-16T09:29:31+00:00 [2084] INFO  : DB Get Request with parameter :'ssc'
2016-12-16T09:29:31+00:00 [2084] INFO  : DB Get SSC List from database.
2016-12-16T09:29:31+00:00 [2084] INFO  : DB SQL = 'SELECT ssc FROM `assessment`.`jobroles_excel_import`'
2016-12-16T09:29:31+00:00 [2084] INFO  : DB 134  C:\wamp64\www\assessment\php\manageQuestions.php  , SQL to get Question List: 'SELECT * FROM `assessment`.`question`'
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:31+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
